　地名,センター,もえるごみ,もえないごみ,古紙類,粗大ごみ（有料）,町会リサイクル,,,,,,,,,,,,
向粟崎１・３・４丁目,,火 金,20260311 20260408 20260513 20260610 20260708 20260812 20260909 20261014 20261111 20261209 20270113 20270210 20270310,20260323 20260427 20260525 20260622 20260727 20260824 20260928 20261026 20261123 20261228 20270322,20260309 20260413 20260518 20260608 20260713 20260810 20260914 20261012 20261109 20261214 20270111 20270208 20270308,*1 20260318 20260414 20260519 20260616 20260714 20260818 20260915 20261020 20261117 20261215 20270119 20270216 20270316,,,,,,,,,,,,
旭ケ丘,,火 金,20260311 20260408 20260513 20260610 20260708 20260812 20260909 20261014 20261111 20261209 20270113 20270210 20270310,20260323 20260427 20260525 20260622 20260727 20260824 20260928 20261026 20261123 20261228 20270322,20260309 20260413 20260518 20260608 20260713 20260810 20260914 20261012 20261109 20261214 20270111 20270208 20270308,*2 20260318 20260414 20260519 20260616 20260714 20260818 20260915 20261020 20261117 20261215 20270119 20270216 20270316,,,,,,,,,,,,
千鳥台,,火 金,20260311 20260408 20260513 20260610 20260708 20260812 20260909 20261014 20261111 20261209 20270113 20270210 20270310,20260323 20260427 20260525 20260622 20260727 20260824 20260928 20261026 20261123 20261228 20270322,20260309 20260413 20260518 20260608 20260713 20260810 20260914 20261012 20261109 20261214 20270111 20270208 20270308,*3 20260318 20260414 20260519 20260616 20260714 20260818 20260915 20261020 20261117 20261215 20270119 20270216 20270316,,,,,,,,,,,,
緑台,,火 金,20260311 20260408 20260513 20260610 20260708 20260812 20260909 20261014 20261111 20261209 20270113 20270210 20270310,20260323 20260427 20260525 20260622 20260727 20260824 20260928 20261026 20261123 20261228 20270322,20260309 20260413 20260518 20260608 20260713 20260810 20260914 20261012 20261109 20261214 20270111 20270208 20270308,*4 20260318 20260414 20260519 20260616 20260714 20260818 20260915 20261020 20261117 20261215 20270119 20270216 20270316,,,,,,,,,,,,
向粟崎２・５丁目,,月 木,20260313 20260410 20260508 20260612 20260710 20260814 20260911 20261009 20261113 20261211 20270115 20270212 20270312,20260324 20260421 20260526 20260623 20260721 20260825 20260922 20261027 20261124 20261222 20270323,20260310 20260414 20260519 20260609 20260714 20260811 20260908 20261013 20261110 20261208 20270112 20270209 20270309,*5 20260318 20260414 20260519 20260616 20260714 20260818 20260915 20261020 20261117 20261215 20270119 20270216 20270316,,,,,,,,,,,,
向陽台,,月 木,20260313 20260410 20260508 20260612 20260710 20260814 20260911 20261009 20261113 20261211 20270115 20270212 20270312,20260324 20260421 20260526 20260623 20260721 20260825 20260922 20261027 20261124 20261222 20270323,20260310 20260414 20260519 20260609 20260714 20260811 20260908 20261013 20261110 20261208 20270112 20270209 20270309,*6 20260318 20260414 20260519 20260616 20260714 20260818 20260915 20261020 20261117 20261215 20270119 20270216 20270316,,,,,,,,,,,,
アカシア,,月 木,20260313 20260410 20260508 20260612 20260710 20260814 20260911 20261009 20261113 20261211 20270115 20270212 20270312,20260324 20260421 20260526 20260623 20260721 20260825 20260922 20261027 20261124 20261222 20270323,20260310 20260414 20260519 20260609 20260714 20260811 20260908 20261013 20261110 20261208 20270112 20270209 20270309,*7 20260318 20260414 20260519 20260616 20260714 20260818 20260915 20261020 20261117 20261215 20270119 20270216 20270316,,,,,,,,,,,,
鶴ケ丘４丁目,,月 木,20260313 20260410 20260508 20260612 20260710 20260814 20260911 20261009 20261113 20261211 20270115 20270212 20270312,20260324 20260421 20260526 20260623 20260721 20260825 20260922 20261027 20261124 20261222 20270323,20260310 20260414 20260519 20260609 20260714 20260811 20260908 20261013 20261110 20261208 20270112 20270209 20270309,*8 20260318 20260415 20260520 20260617 20260715 20260819 20260916 20261021 20261118 20261216 20270120 20270217 20270317,,,,,,,,,,,,
鶴ケ丘１・２・３丁目,,月 木,20260306 20260403 20260501 20260605 20260703 20260807 20260904 20261002 20261106 20261204 20270108 20270205 20270305,20260325 20260422 20260527 20260624 20260722 20260826 20260923 20261028 20261125 20261223 20270324,20260303 20260407 20260512 20260602 20260707 20260804 20260901 20261006 20261103 20261201 20270105 20270202 20270302,*9 20260318 20260415 20260520 20260617 20260715 20260819 20260916 20261021 20261118 20261216 20270120 20270217 20270317,,,,,,,,,,,,
鶴ケ丘５丁目,,月 木,20260306 20260403 20260501 20260605 20260703 20260807 20260904 20261002 20261106 20261204 20270108 20270205 20270305,20260325 20260422 20260527 20260624 20260722 20260826 20260923 20261028 20261125 20261223 20270324,20260303 20260407 20260512 20260602 20260707 20260804 20260901 20261006 20261103 20261201 20270105 20270202 20270302,*a 20260318 20260415 20260520 20260617 20260715 20260819 20260916 20261021 20261118 20261216 20270120 20270217 20270317,,,,,,,,,,,,
