ID,注意事項
1,[時間] 18：30～19：00 [回収場所] 公民館 少年の家
2,[時間] 18：45～19：30 [回収場所] 公民館
3,[時間] 19：00～19：45 [回収場所] 公民館 第2公園 第3公園
4,[時間] 19：00～19：30 [回収場所] 公民館
5,[時間] 18：30～19：00 [回収場所] 内灘町産業会館 5丁目集会場
6,[時間] 19：00～19：30 [回収場所] 公民館
7,[時間] 13：00～18：00 [回収場所] 公民館
8,[時間][4月～11月] 6：30～7：00 [12月〜3月] 7：00～7：30 [回収場所] 公民館 県営住宅公園 鶴ヶ丘神社前 鶴ヶ丘第1児童公園 
9,[時間] 6：30～7：30 [回収場所] 公民館 県営アパート横 ポケットパーク 鶴ヶ丘第7公園
a,[時間] 7：00～8：00 [回収場所] 公民館
b,[時間] 19：00～19：30 [回収場所] 公民館
c,[時間] 8：00～8：30 [回収場所] 公民館東横
d,大学1丁目は町会リサイクルは実施しておりません。常設リサイクルステーションをご利用ください。
e,[時間] 19：00～19：30 [回収場所] 公民館
f,[時間] 18：00～19：00 [回収場所] 公民館 第1町内会集会所 1丁目小公園 第4町内会集会所 第5町内会集会所 7丁目児童公園 8丁目小公園
g,[時間] 19：00～19：30 [回収場所] 公民館
h,[時間] 19：00～20：00 [回収場所] 公民館
i,[時間] 19：00～19：30 [回収場所] 公民館 小学校横駐車場 まちなみ2号公園
j,[時間] 18：00～19：00 [回収場所] 公民館
k,[時間] 11:30～12：00及び18:30〜19:30 [回収場所] 酪農管理センター
